state,latitude,longitude,name,Total ranked players,Average height of ranked players,Average weight of ranked players,Average rank of players,Average stars of ranked players
AK,63.588753,-154.493062,Alaska,0,0,0,0,0
AL,32.318231,-86.902298,Alabama,37,73.64864865,213.5135135,430.4054054,3.513513514
AR,35.20105,-91.831833,Arkansas,11,73.04545455,212.4545455,619.5454545,3.181818182
AZ,34.048928,-111.093731,Arizona,15,72.5,198.6666667,737.1333333,3.133333333
CA,36.778261,-119.417932,California,121,73.98760331,212.8595041,652.0247934,3.297520661
CO,39.550051,-105.782067,Colorado,2,73.25,173.5,1038,3
CT,41.603221,-73.087749,Connecticut,8,76,226.875,484.5,3.375
DC,38.905985,-77.033418,District of Columbia,5,72,204,440.2,3.6
DE,38.910832,-75.52767,Delaware,0,0,0,0,0
FL,27.664827,-81.515754,Florida,145,73.49310345,205.4758621,503.8413793,3.413793103
GA,32.157435,-82.907123,Georgia,79,74.30379747,227.9873418,364.556962,3.594936709
HI,19.898682,-155.665857,Hawaii,12,72.08333333,184.25,820.5833333,3
IA,41.878003,-93.097702,Iowa,10,74.3,213.5,629.1,3.2
ID,44.068202,-114.742041,Idaho,0,0,0,0,0
IL,40.633125,-89.398528,Illinois,38,74.75,225.2368421,621.9473684,3.263157895
IN,40.551217,-85.602364,Indiana,25,74.4,225.44,690.44,3.24
KS,39.011902,-98.484246,Kansas,11,75.18181818,214.0909091,453.1818182,3.636363636
KY,37.839333,-84.270018,Kentucky,14,71.82142857,184,764.2857143,3.142857143
LA,31.244823,-92.145024,Louisiana,28,73.73214286,207.0714286,478.6071429,3.428571429
MA,42.407211,-71.382437,Massachusetts,4,74.25,207.5,694.25,3.25
MD,39.045755,-76.641271,Maryland,25,73.66,211.64,504.92,3.36
ME,45.253783,-69.445469,Maine,0,0,0,0,0
MI,44.314844,-85.602364,Michigan,27,73.66666667,215.2222222,682.5185185,3.222222222
MN,46.729553,-94.6859,Minnesota,5,75,252.4,771.8,3
MO,37.964253,-91.831833,Missouri,21,74.21428571,206.9047619,679.3333333,3.285714286
MS,32.354668,-89.398528,Mississippi,19,74.34210526,219.5789474,379.8947368,3.736842105
MT,46.879682,-110.362566,Montana,0,0,0,0,0
NC,35.759573,-79.0193,North Carolina,18,74.22222222,215.0555556,391.5,3.555555556
ND,47.551493,-101.002012,North Dakota,1,76,240,261,4
NE,41.492537,-99.901813,Nebraska,8,74.5,212,634.375,3.25
NH,43.193852,-71.572395,New Hampshire,0,0,0,0,0
NJ,40.058324,-74.405661,New Jersey,28,73.75,205.7142857,491.75,3.428571429
NM,34.97273,-105.032363,New Mexico,2,70.5,177.5,678,3.5
NV,38.80261,-116.419389,Nevada,14,74.21428571,237.5714286,654.0714286,3.428571429
NY,43.299428,-74.217933,New York,4,73.5,216.75,456.25,3.25
OH,40.417287,-82.907123,Ohio,66,73.82575758,210.6363636,721.4393939,3.196969697
OK,35.007752,-97.092877,Oklahoma,16,74.5625,222.5625,452.8125,3.5
OR,43.804133,-120.554201,Oregon,3,74.5,223.3333333,878.3333333,3
PA,41.203322,-77.194525,Pennsylvania,22,74.31818182,214,401.6363636,3.636363636
RI,41.580095,-71.477429,Rhode Island,0,0,0,0,0
SC,33.836081,-81.163725,South Carolina,18,72.88888889,200,521.3333333,3.277777778
SD,43.969515,-99.901813,South Dakota,0,0,0,0,0
TN,35.517491,-86.580447,Tennessee,40,74.3,220.775,639.475,3.325
TX,31.968599,-99.901813,Texas,133,74.13157895,217.2105263,448.8045113,3.496240602
UT,39.32098,-111.093731,Utah,17,74.82352941,221.8823529,721.0588235,3.176470588
VA,37.431573,-78.656894,Virginia,26,74.03846154,211.6538462,439.7307692,3.5
VT,44.558803,-72.577841,Vermont,0,0,0,0,0
WA,47.751074,-120.740139,Washington,9,74.55555556,233.6666667,632.5555556,3.333333333
WI,43.78444,-88.787868,Wisconsin,11,74.63636364,209.6363636,636.1818182,3.181818182
WV,38.597626,-80.454903,West Virginia,2,71,170,850.5,3
WY,43.075968,-107.290284,Wyoming,0,0,0,0,0
