State_Code,2021,2022,2023,2024,2025
AL,10,11,16,15,17
AK,0,0,0,0,0
AR,0,2,2,3,1
AZ,3,3,4,3,1
CA,19,20,19,18,25
CO,1,2,1,0,0
CT,0,0,1,3,0
DE,0,0,0,0,0
DC,0,0,1,1,2
FL,32,27,43,25,32
GA,17,23,23,28,30
HI,1,0,0,1,0
ID,0,0,1,1,0
IL,6,6,2,6,5
IN,2,6,2,5,4
IA,4,3,1,2,2
KS,1,2,2,2,4
KY,2,0,0,2,1
LA,8,12,8,7,5
ME,0,0,0,0,0
MD,8,6,5,9,5
MA,1,1,4,2,0
MI,8,6,0,4,1
MN,3,0,1,2,0
MS,4,7,3,6,6
MO,3,4,5,5,2
MT,0,0,0,0,0
NC,15,5,9,8,5
ND,0,0,0,1,0
NE,1,2,1,1,1
NH,0,0,0,0,0
NJ,4,1,1,2,8
NM,0,0,0,0,1
NV,1,5,1,1,3
NY,0,0,0,0,0
OH,6,7,6,10,6
OK,5,6,4,1,5
OR,2,1,1,0,0
PA,9,5,0,3,7
RI,0,0,0,0,0
SC,1,3,3,2,0
SD,0,0,1,0,0
TN,5,5,4,7,6
TX,32,28,39,35,28
UT,2,0,3,2,2
VA,5,8,8,4,9
VT,0,0,0,0,0
WA,4,1,1,3,1
WI,2,4,0,2,1
WV,1,0,0,0,0
